Kankersoort;Periode;Geslacht;Leeftijdsgroep;Aantal
Hoofd-halskanker;1994;Man;0-14;0
Hoofd-halskanker;1994;Man;Totaal;1555
Hoofd-halskanker;1994;Man;75+;256
Hoofd-halskanker;1994;Man;15-29;5
Hoofd-halskanker;1994;Man;45-59;503
Hoofd-halskanker;1994;Man;60-74;694
Hoofd-halskanker;1994;Man;30-44;97
Hoofd-halskanker;1995;Man;0-14;1
Hoofd-halskanker;1995;Man;30-44;111
Hoofd-halskanker;1995;Man;Totaal;1617
Hoofd-halskanker;1995;Man;75+;291
Hoofd-halskanker;1995;Man;15-29;4
Hoofd-halskanker;1995;Man;45-59;476
Hoofd-halskanker;1995;Man;60-74;734
Hoofd-halskanker;1996;Man;30-44;105
Hoofd-halskanker;1996;Man;15-29;13
Hoofd-halskanker;1996;Man;Totaal;1679
Hoofd-halskanker;1996;Man;75+;281
Hoofd-halskanker;1996;Man;0-14;3
Hoofd-halskanker;1996;Man;45-59;556
Hoofd-halskanker;1996;Man;60-74;721
Hoofd-halskanker;1997;Man;0-14;0
Hoofd-halskanker;1997;Man;15-29;10
Hoofd-halskanker;1997;Man;Totaal;1684
Hoofd-halskanker;1997;Man;75+;324
Hoofd-halskanker;1997;Man;45-59;542
Hoofd-halskanker;1997;Man;60-74;732
Hoofd-halskanker;1997;Man;30-44;76
Hoofd-halskanker;1998;Man;0-14;0
Hoofd-halskanker;1998;Man;Totaal;1635
Hoofd-halskanker;1998;Man;75+;280
Hoofd-halskanker;1998;Man;45-59;535
Hoofd-halskanker;1998;Man;60-74;728
Hoofd-halskanker;1998;Man;15-29;8
Hoofd-halskanker;1998;Man;30-44;84
Hoofd-halskanker;1999;Man;15-29;12
Hoofd-halskanker;1999;Man;Totaal;1714
Hoofd-halskanker;1999;Man;0-14;2
Hoofd-halskanker;1999;Man;75+;328
Hoofd-halskanker;1999;Man;45-59;543
Hoofd-halskanker;1999;Man;30-44;73
Hoofd-halskanker;1999;Man;60-74;756
Hoofd-halskanker;2000;Man;0-14;0
Hoofd-halskanker;2000;Man;15-29;11
Hoofd-halskanker;2000;Man;Totaal;1750
Hoofd-halskanker;2000;Man;75+;296
Hoofd-halskanker;2000;Man;45-59;612
Hoofd-halskanker;2000;Man;60-74;750
Hoofd-halskanker;2000;Man;30-44;81
Hoofd-halskanker;2001;Man;15-29;11
Hoofd-halskanker;2001;Man;Totaal;1683
Hoofd-halskanker;2001;Man;75+;303
Hoofd-halskanker;2001;Man;0-14;5
Hoofd-halskanker;2001;Man;45-59;554
Hoofd-halskanker;2001;Man;60-74;718
Hoofd-halskanker;2001;Man;30-44;92
Hoofd-halskanker;2002;Man;Totaal;1687
Hoofd-halskanker;2002;Man;75+;270
Hoofd-halskanker;2002;Man;0-14;3
Hoofd-halskanker;2002;Man;15-29;5
Hoofd-halskanker;2002;Man;45-59;614
Hoofd-halskanker;2002;Man;60-74;710
Hoofd-halskanker;2002;Man;30-44;85
Hoofd-halskanker;2003;Man;0-14;1
Hoofd-halskanker;2003;Man;15-29;10
Hoofd-halskanker;2003;Man;Totaal;1759
Hoofd-halskanker;2003;Man;75+;327
Hoofd-halskanker;2003;Man;45-59;602
Hoofd-halskanker;2003;Man;60-74;728
Hoofd-halskanker;2003;Man;30-44;91
Hoofd-halskanker;2004;Man;15-29;10
Hoofd-halskanker;2004;Man;30-44;102
Hoofd-halskanker;2004;Man;Totaal;1789
Hoofd-halskanker;2004;Man;0-14;2
Hoofd-halskanker;2004;Man;75+;310
Hoofd-halskanker;2004;Man;45-59;629
Hoofd-halskanker;2004;Man;60-74;736
Hoofd-halskanker;2005;Man;0-14;0
Hoofd-halskanker;2005;Man;Totaal;1873
Hoofd-halskanker;2005;Man;75+;346
Hoofd-halskanker;2005;Man;45-59;616
Hoofd-halskanker;2005;Man;30-44;81
Hoofd-halskanker;2005;Man;60-74;821
Hoofd-halskanker;2005;Man;15-29;9
Hoofd-halskanker;2006;Man;Totaal;1802
Hoofd-halskanker;2006;Man;0-14;2
Hoofd-halskanker;2006;Man;75+;361
Hoofd-halskanker;2006;Man;45-59;560
Hoofd-halskanker;2006;Man;15-29;6
Hoofd-halskanker;2006;Man;30-44;75
Hoofd-halskanker;2006;Man;60-74;798
Hoofd-halskanker;2007;Man;15-29;11
